real,pred
3.9469068,4.1470633
3.9469068,3.9881046
3.9469068,3.9143872
3.9469068,4.351467
5.0343127,5.738336
5.0343127,5.8328657
5.0343127,5.9438043
5.0343127,5.896896
5.0343127,5.965753
5.0343127,6.076977
3.9469068,4.1839857
3.9469068,4.0021954
3.9469068,4.030126
5.0343127,5.70223
5.0343127,5.8752165
5.0343127,5.8630548
5.0343127,5.9506116
5.0343127,5.8994293
5.0343127,5.9638467
5.0343127,6.0774074
3.9469068,4.208453
3.9469068,4.2458243
5.0343127,5.598759
5.0343127,5.8253818
5.0343127,5.9137893
5.0343127,5.871576
5.0343127,5.9456086
5.0343127,5.8827057
5.0343127,5.985193
5.0343127,6.015932
3.9469068,4.3137674
5.0343127,5.5664473
5.0343127,5.837242
5.0343127,5.8197927
5.0343127,6.005903
5.0343127,5.8645024
5.0343127,5.9438815
5.0343127,5.8615274
5.0343127,5.96877
5.0343127,5.98696
5.0343127,5.493159
5.0343127,5.7324386
5.0343127,5.969665
5.0343127,5.835489
5.0343127,5.9699254
5.0343127,5.8889694
5.0343127,5.9507117
5.0343127,5.839074
5.0343127,5.9405317
5.0343127,5.936679
5.0343127,5.1926966
5.0343127,5.114297
5.0343127,5.16733
5.0343127,4.954067
5.0343127,4.9202023
5.0343127,5.1072774
5.0343127,4.973891
5.0343127,4.8482494
5.0343127,4.9792433
5.0343127,4.998412
5.0343127,4.860097
5.0343127,5.037691
5.0343127,5.0941296
5.0343127,5.14292
5.0343127,5.019273
5.0343127,5.112049
5.0343127,5.066631
5.0343127,4.8766317
5.0343127,5.041685
5.0343127,5.101778
5.0343127,4.932094
5.0343127,4.97025
5.0343127,5.084262
5.0343127,5.117236
5.0343127,5.137666
5.0343127,5.075432
5.0343127,5.027224
5.0343127,4.99387
5.0343127,5.119691
5.0343127,5.166367
5.0343127,5.0199857
5.0343127,5.0362453
5.0343127,5.123398
5.0343127,5.1111054
5.0343127,5.114554
5.0343127,5.061384
5.0343127,5.0188093
5.0343127,5.0511255
5.0343127,5.1442337
5.0343127,5.188653
5.0343127,5.0309105
5.0343127,5.1744375
5.0343127,5.20249
5.0343127,5.168304
5.0343127,5.125691
5.0343127,5.0949802
5.0343127,5.1737595
5.0343127,5.0775933
5.0343127,5.209199
5.0343127,5.223469
5.0343127,4.996513
5.0343127,5.144204
5.0343127,5.163783
5.0343127,5.1299615
5.0343127,5.0765758
5.0343127,5.056095
5.0343127,5.153108
5.0343127,5.0350003
5.0343127,5.1581917
5.0343127,5.1634064
5.0343127,4.9949813
5.0343127,5.119393
5.0343127,5.154345
5.0343127,5.138836
5.0343127,5.0710135
5.0343127,5.0866604
5.0343127,5.1935787
5.0343127,5.047882
5.0343127,5.174801
5.0343127,5.174232
5.0343127,5.0157123
5.0343127,5.124985
5.0343127,5.154047
5.0343127,5.143278
5.0343127,5.0827403
5.0343127,5.123112
5.0343127,5.1861553
5.0343127,5.0485563
5.0343127,5.1283984
5.0343127,5.163655
5.0343127,5.0329423
5.0343127,5.1106853
5.0343127,5.1454444
5.0343127,5.1327863
5.0343127,5.0629015
5.0343127,5.103251
5.0343127,5.1564264
5.0343127,5.02465
5.0343127,5.1106496
5.0343127,5.1447835
5.0343127,5.0237246
5.0343127,5.071639
5.0343127,5.1293592
5.0343127,5.123004
5.0343127,5.0498385
5.0343127,5.0866814
5.0343127,5.126931
5.0343127,5.0386467
5.0343127,5.0986958
5.0343127,5.157195
5.0343127,5.028505
5.0343127,5.062063
5.0343127,5.113094
5.0343127,5.119915
5.0343127,5.042658
5.0343127,5.019787
5.0343127,5.121618
5.0343127,5.0510817
5.0343127,5.1070085
5.0343127,5.168762
5.0343127,5.0339704
5.0343127,5.045802
5.0343127,5.102118
5.0343127,5.12061
5.0343127,5.0515623
5.0343127,5.02444
5.0343127,5.157767
5.0343127,5.0593014
5.0343127,5.106879
5.0343127,5.1744704
5.0343127,5.0377746
5.0343127,5.0203114
5.0343127,5.093258
5.0343127,5.118579
5.0343127,5.0594983
5.0343127,5.034797
5.0343127,5.1550384
5.0343127,5.059595
5.0343127,5.100644
5.0343127,5.1711936
5.0343127,5.0471845
5.0343127,5.012867
5.0343127,5.098144
5.0343127,5.1164
5.0343127,5.0476856
5.0343127,5.047867
5.0343127,5.0801296
5.0343127,5.0630918
5.0343127,5.094569
5.0343127,5.1733828
5.0343127,5.027829
5.0343127,5.0102253
5.0343127,5.098292
5.0343127,5.106822
5.0343127,5.0431247
5.0343127,5.0546575
5.0343127,5.08108
5.0343127,5.110758
5.0343127,5.077381
5.0343127,5.176321
5.0343127,5.043599
5.0343127,4.9920278
5.0343127,5.086225
5.0343127,5.0953937
5.0343127,5.0341105
5.0343127,5.0542707
5.0343127,5.077435
5.0343127,5.1011896
5.0343127,5.0485587
5.0343127,5.1848683
5.0343127,5.0413294
5.0343127,4.9566293
5.0343127,5.0655284
5.0343127,5.082456
5.0343127,5.0177765
5.0343127,5.047382
5.0343127,5.069798
5.0343127,5.083056
5.0343127,4.9847965
5.0343127,5.2114058
5.0343127,5.0283356
5.0343127,4.9271884
5.0343127,5.047735
5.0343127,5.0679145
5.0343127,5.023996
5.0343127,4.9996614
5.0343127,5.0605335
5.0343127,5.059519
5.0343127,4.9723396
5.0343127,5.187447
5.0343127,5.0220876
5.0343127,4.91066
5.0343127,5.0362196
5.0343127,5.0529704
5.0343127,5.046946
5.0343127,4.983621
5.0343127,5.0511208
5.0343127,5.0311794
5.0343127,5.073903
5.550392,6.0263767
